eventID,sceneID,speakerID,The Ancient One (1),Kaecilius (2),Stephen Strange (3),Billy (4),Christine Palmer (5),Nicodemus West (6),Jonathan Pangborn (7),Mordo (8),Wong (9),Daniel Drumm (10),Dormammu (11),Thor (12)
402,27,5,0,0,1,0,0,0,0,0,0,0,0,0
403,27,3,0,0,0,0,1,0,0,0,0,0,0,0
404,27,5,0,0,1,0,0,0,0,0,0,0,0,0
405,27,3,0,0,0,0,1,0,0,0,0,0,0,0
406,27,5,0,0,1,0,0,0,0,0,0,0,0,0
407,27,5,0,0,1,0,0,0,0,0,0,0,0,0
408,27,3,0,0,0,0,1,0,0,0,0,0,0,0
409,27,5,0,0,1,0,0,0,0,0,0,0,0,0
410,27,3,0,0,0,0,1,0,0,0,0,0,0,0
411,27,5,0,0,1,0,0,0,0,0,0,0,0,0
412,27,3,0,0,0,0,1,0,0,0,0,0,0,0
413,27,5,0,0,1,0,0,0,0,0,0,0,0,0
414,27,3,0,0,0,0,1,0,0,0,0,0,0,0
415,27,5,0,0,1,0,0,0,0,0,0,0,0,0
416,27,3,0,0,0,0,1,0,0,0,0,0,0,0
417,27,5,0,0,1,0,0,0,0,0,0,0,0,0
418,27,3,0,0,0,0,1,0,0,0,0,0,0,0
419,27,5,0,0,1,0,0,0,0,0,0,0,0,0
420,27,3,0,0,0,0,1,0,0,0,0,0,0,0
421,27,5,0,0,1,0,0,0,0,0,0,0,0,0
422,27,3,0,0,0,0,1,0,0,0,0,0,0,0
423,27,5,0,0,1,0,0,0,0,0,0,0,0,0
424,27,5,0,0,1,0,0,0,0,0,0,0,0,0
425,27,3,0,0,0,0,1,0,0,0,0,0,0,0
426,27,5,0,0,1,0,0,0,0,0,0,0,0,0
427,27,3,0,0,0,0,1,0,0,0,0,0,0,0
428,28,8,0,0,1,0,0,0,0,0,0,0,0,0
429,28,8,0,0,1,0,0,0,0,0,0,0,0,0
430,28,3,0,0,0,0,0,0,0,1,0,0,0,0
431,28,8,0,0,1,0,0,0,0,0,0,0,0,0
432,28,1,0,0,1,0,0,0,0,0,0,0,0,0
433,28,3,1,0,0,0,0,0,0,0,0,0,0,0
434,28,1,0,0,1,0,0,0,0,0,0,0,0,0
435,28,3,1,0,0,0,0,0,0,1,0,0,0,0
436,28,1,0,0,1,0,0,0,0,0,0,0,0,0
437,28,3,1,0,0,0,0,0,0,0,0,0,0,0
438,28,1,0,0,1,0,0,0,0,0,0,0,0,0
439,28,3,1,0,0,0,0,0,0,0,0,0,0,0
440,28,1,0,0,1,0,0,0,0,0,0,0,0,0
441,28,3,1,0,0,0,0,0,0,1,0,0,0,0
442,28,8,0,0,1,0,0,0,0,0,0,0,0,0
443,28,1,0,0,1,0,0,0,0,0,0,0,0,0
444,28,1,0,0,1,0,0,0,0,0,0,0,0,0
445,28,3,1,0,0,0,0,0,0,0,0,0,0,0
446,28,1,0,0,1,0,0,0,0,0,0,0,0,0
447,28,3,1,0,0,0,0,0,0,0,0,0,0,0
448,28,1,0,0,1,0,0,0,0,0,0,0,0,0
449,28,3,1,0,0,0,0,0,0,0,0,0,0,0
450,28,1,0,0,1,0,0,0,0,0,0,0,0,0
451,28,3,1,0,0,0,0,0,0,0,0,0,0,0
452,28,1,0,0,1,0,0,0,0,0,0,0,0,0
453,28,3,1,0,0,0,0,0,0,0,0,0,0,0
454,28,1,0,0,1,0,0,0,0,0,0,0,0,0
455,28,8,1,0,0,0,0,0,0,0,0,0,0,0
456,28,3,0,0,0,0,0,0,0,1,0,0,0,0
457,28,8,0,0,1,0,0,0,0,0,0,0,0,0
458,28,3,1,0,0,0,0,0,0,1,0,0,0,0
459,28,1,0,0,1,0,0,0,0,0,0,0,0,0
460,28,3,0,0,0,0,0,0,0,1,0,0,0,0
461,28,8,0,0,1,0,0,0,0,0,0,0,0,0
462,28,3,0,0,0,0,0,0,0,1,0,0,0,0
463,28,8,0,0,1,0,0,0,0,0,0,0,0,0
464,28,3,0,0,0,0,0,0,0,1,0,0,0,0
